% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = 0, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = 1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%learnalg = [r, n]
% 	Parameters	Results
Timestep	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, 0, true, .334, .333, .001, 25, 0, 1, true, r, .01]
66000	r	0.011614137064050989	0.4778225595188486	0.5122949012902396	0.9883858629141639	0.985966486950731	0.9740358638361832	0.146	0.146	0.192	571.0	418.0	11.0	
67000	r	0.012393701009289876	0.47749533124605675	0.5150215460214039	0.9876062989680416	0.9850222297741278	0.9445611361800785	0.151	0.151	0.316	577.0	414.0	9.0	
68000	r	0.003510349804005551	0.475290251067467	0.5112661595160529	0.9964896501734554	0.9972349167095722	0.9757860385909004	0.096	0.096	0.354	591.0	397.0	12.0	
69000	r	0.015869774058879103	0.47589580616446775	0.513993254056573	0.9841302259185918	0.9869029429460956	0.9488563498512554	0.186	0.186	0.283	603.0	384.0	13.0	
70000	r	3.606022215078142E-4	0.4765568685712754	0.4974890432429629	0.9996393977550361	0.9989515003898912	0.9852045072375367	0.071	0.071	0.173	596.0	393.0	11.0	
71000	r	0.007929374952646995	0.47461978360515644	0.4888048160727601	0.9920706250232193	0.9921833478479627	0.981300529729848	0.063	0.063	0.358	592.0	397.0	11.0	
72000	r	8.403628585899411E-4	0.47478450933204625	0.5227390378419312	0.9991596371162957	0.9982131776177794	0.9957572217746342	0.032	0.032	0.031	602.0	390.0	8.0	
73000	r	0.0032714455061294946	0.4746761224839932	0.5227390378419312	0.9967285544689509	0.9936589840484731	0.9937190480631575	0.031	0.031	0.022	612.0	380.0	8.0	
74000	r	0.007058897718260828	0.4757095259655432	0.5227390378419312	0.9929411022563159	0.9947949615632002	0.9778601412442806	0.029	0.029	0.068	609.0	383.0	8.0	
75000	r	0.009740581964743325	0.47567151404065394	0.5326517167678874	0.9902594180098268	0.9948225892603099	0.9594658636382817	0.122	0.122	0.394	613.0	381.0	6.0	
76000	r	9.32086908663695E-5	0.4765494017446816	0.5119977066131427	0.9999067912833768	0.9999125676851759	0.9984103228564927	0.038	0.038	0.0	608.0	387.0	5.0	
77000	r	0.014184627466264477	0.4762027129411838	0.5119977066131427	0.9858153725076662	0.9850284924035931	0.9453128018855906	0.105	0.105	0.16	611.0	384.0	5.0	
78000	r	0.02293582631515758	0.4728791730052176	0.5105075740853754	0.9770641736586807	0.9866296799486808	0.9511399644286677	0.105	0.105	0.885	625.0	372.0	3.0	
79000	r	0.012058274915075702	0.4723826815762416	0.5078806805640316	0.9879417250595204	0.9869186442242341	0.9540033536197539	0.151	0.151	0.955	650.0	346.0	4.0	
80000	r	0.009521239171333433	0.4731687707021865	0.5078806805640316	0.9904787608036798	0.9888829483927826	0.9769668971060759	0.1	0.1	0.025	672.0	324.0	4.0	
81000	r	0.015818559250477097	0.47649940447487016	0.5063045444512253	0.984181440723796	0.9833541224123915	0.9172588012830764	0.141	0.141	0.066	667.0	328.0	5.0	
82000	r	0.018989954112303566	0.4789384732292149	0.5045032460365895	0.981010045861673	0.9833212091584382	0.9133526243932858	0.131	0.131	0.0	673.0	320.0	7.0	
83000	r	0.01759602331501598	0.47889904812169737	0.5039403402820157	0.982403976659135	0.9802960336031332	0.9059792244453191	0.116	0.116	0.256	686.0	306.0	8.0	
84000	r	0.009730982353838935	0.4800648474897112	0.4981904177511699	0.9902690176206201	0.9884035122820963	0.9501311761317263	0.084	0.084	0.158	703.0	288.0	9.0	
85000	r	0.038936432759547605	0.48068467173382073	0.49851943270550264	0.9610635672151806	0.9631944704361839	0.9040058947100637	0.136	0.136	0.102	720.0	269.0	11.0	
86000	r	0.03628686963025148	0.483909075843331	0.49851943270550264	0.963713130343481	0.9711326191165649	0.9360733972726467	0.211	0.211	0.062	700.0	289.0	11.0	
87000	r	0.021183657762675424	0.4841982670969776	0.4971693872509572	0.9788163422106101	0.9887984210237105	0.9642649699599081	0.156	0.156	0.107	698.0	291.0	11.0	
88000	r	1.7962255865228304E-4	0.4846868191702091	0.49546764274561433	0.9998203774142972	0.9984981162483069	0.9957749508871427	0.032	0.032	0.011	696.0	295.0	9.0	
89000	r	0.0036579901627419873	0.4858689328654801	0.5063045444512253	0.9963420098090827	0.9960769019688398	0.8657380723766919	0.026	0.026	0.022	698.0	297.0	5.0	
90000	r	0.03432286676090238	0.4727924651683569	0.5052537870426878	0.9656771332101235	0.9769134156432312	0.9871850521905631	0.165	0.165	2.33	703.0	291.0	6.0	
91000	r	0.005101163622187096	0.47002400410579326	0.5052537870426878	0.9948988363490558	0.994107480809398	0.999083317252175	0.102	0.102	0.692	711.0	283.0	6.0	
92000	r	0.014364898988475221	0.4656306927701253	0.5045032460365896	0.9856351009822586	0.9851192383209862	0.960475259997463	0.175	0.175	1.151	705.0	288.0	7.0	
93000	r	0.00496929765181702	0.46500085597413465	0.5045032460365896	0.9950307023185575	0.9950169046806132	0.999990523643833	0.074	0.074	0.05	713.0	280.0	7.0	
94000	r	0.008009108899607308	0.46595590766093437	0.5045032460365896	0.9919908910695577	0.9912600552219917	0.9999999995902967	0.054	0.054	0.0	711.0	282.0	7.0	
95000	r	0.005982995418386532	0.4694074996881263	0.5039403402820158	0.9940170045497277	0.9963987002158613	0.9566809912602694	0.14	0.14	0.064	710.0	282.0	8.0	
96000	r	0.0033963776923354354	0.46993185772637996	0.4902466915668733	0.9966036222755703	0.9984637320176548	0.9949341855428848	0.054	0.054	0.09	709.0	288.0	3.0	
97000	r	0.031264359368754636	0.47179060757897506	0.5000000000001199	0.9687356405996858	0.9712613169203	0.9572994570783983	0.158	0.158	0.083	730.0	269.0	1.0	
98000	r	0.035954976561837805	0.4770783954177951	0.5000000000001199	0.964045023406548	0.9578937536291646	0.9999933851696986	0.18	0.18	0.064	735.0	264.0	1.0	
99000	r	0.03936219140034654	0.482080023435116	0.5000000000001199	0.9606378085677314	0.9588312294823461	0.9999014226981537	0.177	0.177	0.11	734.0	265.0	1.0	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, 0, true, .334, .333, .001, 25, 0, 1, true, n, .01]
0	n	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	334.0	333.0	333.0	
1000	n	0.038580765505871084	0.4979836577016451	0.500196729408576	0.9614192344940626	0.9610049700845363	0.7732145875550893	0.173	0.173	0.809	345.0	348.0	307.0	
2000	n	0.030566693254722704	0.49570817989486177	0.4985799514133311	0.9694333067451915	0.9741051704777207	0.8504894204262484	0.15	0.15	0.723	356.0	353.0	291.0	
3000	n	0.025408320755373158	0.49516156406957273	0.4979830612944039	0.9745916792445616	0.9677347253298716	0.8579473140523662	0.193	0.193	0.426	352.0	370.0	278.0	
4000	n	0.022597465897941586	0.49271390442940327	0.4967218296886157	0.9774025341019761	0.972338395805721	0.8590444020488665	0.151	0.151	0.387	347.0	383.0	270.0	
5000	n	0.02446537411731499	0.4945633769011391	0.4959750936752925	0.97553462588262	0.9751380132171775	0.8751987889232582	0.164	0.164	0.327	350.0	397.0	253.0	
6000	n	0.022482734668564718	0.49109773938264933	0.49559807966379865	0.9775172653313937	0.9714489784937628	0.8732546163860189	0.176	0.176	1.042	336.0	406.0	258.0	
7000	n	0.02193609736803201	0.49131534339432487	0.496818023929051	0.9780639026319108	0.971116331338718	0.8567094784947656	0.192	0.192	0.377	346.0	398.0	256.0	
8000	n	0.021133752369837496	0.4915979477130883	0.4971807301064299	0.9788662476301158	0.9781977857367258	0.8929965421282925	0.154	0.154	0.609	365.0	396.0	239.0	
9000	n	0.019252503590246637	0.49274341462076415	0.49769802060814633	0.9807474964096675	0.9783798109519002	0.8876128421119825	0.136	0.136	0.234	378.0	402.0	220.0	
10000	n	0.02294272233486115	0.4933011431987147	0.49626256514618194	0.9770572776650324	0.9791771825552196	0.8651339075489749	0.123	0.123	0.323	380.0	405.0	215.0	
11000	n	0.024790110055316183	0.49263664991195405	0.4947863034795067	0.9752098899445594	0.9768021001797512	0.8835470004595627	0.176	0.176	0.71	383.0	407.0	210.0	
12000	n	0.028372667013036146	0.4938038092435088	0.49466374314757316	0.971627332986839	0.9644547953880791	0.8723775149105113	0.188	0.188	0.199	382.0	413.0	205.0	
13000	n	0.022975313263702928	0.492120383756541	0.49363558133965396	0.977024686736119	0.9791325109892469	0.8821909876691457	0.19	0.19	0.564	387.0	404.0	209.0	
14000	n	0.020779548765991866	0.49097048096035434	0.49540018690558285	0.979220451233898	0.9804401972414865	0.9065989387753681	0.101	0.101	0.519	396.0	409.0	195.0	
15000	n	0.029329180457509478	0.4897572293707952	0.49576315232822227	0.9706708195423824	0.9745109350238546	0.8772074983785914	0.173	0.173	0.563	416.0	401.0	183.0	
16000	n	0.02052684224656703	0.48902439155014693	0.49459582213041475	0.9794731577533173	0.9783149728477017	0.906129457202492	0.126	0.126	0.431	421.0	412.0	167.0	
17000	n	0.019446464980724394	0.48561028965368414	0.49321136851794356	0.9805535350191465	0.9831865225337509	0.9221181043043427	0.113	0.113	0.793	435.0	406.0	159.0	
18000	n	0.01981727779064013	0.48441221468477763	0.48985407659828195	0.9801827222092407	0.983464312485828	0.9225534200537108	0.153	0.153	0.487	450.0	403.0	147.0	
19000	n	0.01825035700527014	0.4868044645698253	0.48922286931968206	0.9817496429945602	0.9840740634277768	0.90543933549631	0.126	0.126	0.238	451.0	401.0	148.0	
