% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%stayforage = [.1, .5, .9]
%learnalg = [r, n, b]
% 	Parameters		Results
Timestep	stayforage	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .001, true, .334, .333, .001, 25, 0, .1, true, r, .01]
32000	.1	r	0.011966274880025711	0.48054880176385056	0.49373061869167134	0.9880337251119793	0.9852052040881899	0.9195521027344757	0.1869375	0.1869375	0.72953125	345.0	523.0	132.0	
33000	.1	r	0.01629558664016467	0.4814253928677666	0.49263685589056855	0.9837044133511096	0.983345683467615	0.9369114060531127	0.18524242424242424	0.18524242424242424	0.7188484848484848	326.0	547.0	127.0	
34000	.1	r	0.015994514317697626	0.4836690548084646	0.49263454586279276	0.9840054856735015	0.9834438703159128	0.9330844024636895	0.18594117647058825	0.18594117647058825	0.7159705882352941	332.0	559.0	109.0	
35000	.1	r	0.007024291961296854	0.4857903659625092	0.4920510327464465	0.992975708029341	0.9957019721647741	0.9632969347481493	0.18497142857142856	0.18497142857142856	0.7094857142857143	319.0	577.0	104.0	
36000	.1	r	0.007577032431720473	0.48414654009859964	0.4944234818936362	0.9924229675584805	0.9890921569820289	0.9386659387089145	0.18366666666666667	0.18366666666666667	0.7079722222222222	315.0	580.0	105.0	
37000	.1	r	0.011252271328963006	0.4845619762934778	0.49475666724965156	0.9887477286606312	0.982704593092244	0.9282650518024078	0.18367567567567566	0.18367567567567566	0.707945945945946	308.0	592.0	100.0	
38000	.1	r	0.02150365984758358	0.48423531865800823	0.4932870859645056	0.9784963401419414	0.9818011813421588	0.9399185598831994	0.1841578947368421	0.1841578947368421	0.7146315789473684	311.0	593.0	96.0	
39000	.1	r	0.010642828075464981	0.4839195241318256	0.4921626475804927	0.9893571719136304	0.9905101410106016	0.948182496586194	0.18346153846153845	0.18346153846153845	0.716025641025641	305.0	601.0	94.0	
40000	.1	r	0.006871412879947832	0.48426264113862577	0.492176837990292	0.9931285871088837	0.9945816151443101	0.9607618211927929	0.18225	0.18225	0.710875	303.0	608.0	89.0	
41000	.1	r	0.018162172783020333	0.4849769552653549	0.49264302877171945	0.9818378272051758	0.9845077547138302	0.9161434771490321	0.1821951219512195	0.1821951219512195	0.7101951219512195	295.0	618.0	87.0	
42000	.1	r	0.013012169834575739	0.48537791284037446	0.4920522735878016	0.9869878301534788	0.9857106092707776	0.9229462610415141	0.18228571428571427	0.18228571428571427	0.7073571428571429	298.0	616.0	86.0	
43000	.1	r	0.009335197286558718	0.4845906403723606	0.4928129809141765	0.9906648027007264	0.9872390517408072	0.9617865764073766	0.18148837209302326	0.18148837209302326	0.708139534883721	286.0	636.0	78.0	
44000	.1	r	0.012551863413426092	0.48522300825975256	0.490817718528003	0.9874481365728404	0.9838071111094382	0.9356928829895894	0.18125	0.18125	0.706	270.0	644.0	86.0	
45000	.1	r	0.014588559162460983	0.48483484876726296	0.4901938305716895	0.9854114408241322	0.9833131053426051	0.9446800963649716	0.18157777777777778	0.18157777777777778	0.7053777777777778	283.0	634.0	83.0	
46000	.1	r	0.02076014319054421	0.4855338642478874	0.4929547663788685	0.97923985679646	0.9813530634493066	0.9631027847205041	0.18097826086956523	0.18095652173913043	0.7038260869565217	297.0	624.0	78.0	
47000	.1	r	0.014055117392661678	0.4864581016153195	0.4935287196292897	0.9859448825935503	0.9821723619724184	0.9345751293863237	0.18097872340425533	0.18097872340425533	0.7003829787234043	284.0	631.0	85.0	
48000	.1	r	0.011828232363573025	0.4851799318421693	0.4962180270347313	0.9881717676229258	0.9868607400821631	0.9329503988885333	0.18064583333333334	0.18064583333333334	0.7005833333333333	297.0	617.0	86.0	
49000	.1	r	0.0064735780393339664	0.48675591394471035	0.49584407075242004	0.9935264219472135	0.9969213979900556	0.9739613366721876	0.1793061224489796	0.1793061224489796	0.6907959183673469	305.0	619.0	76.0	
50000	.1	r	0.007259794676775467	0.4873946524481102	0.49700768847504334	0.9927402053092241	0.9915541136324035	0.9626936050575293	0.17814	0.17812	0.68316	303.0	626.0	70.0	
51000	.1	r	0.012401803516977542	0.4858534604712485	0.49917540146899564	0.9875981964691339	0.9878146246397038	0.9574837516488595	0.17794117647058824	0.17794117647058824	0.688	312.0	623.0	65.0	
52000	.1	r	0.009514977163284706	0.48485126793559313	0.4975222870626758	0.9904850228229004	0.9807442350380061	0.9449457579079826	0.17728846153846153	0.17728846153846153	0.6873269230769231	318.0	613.0	69.0	
53000	.1	r	0.007412807100559022	0.4847069444500634	0.4969039647611787	0.9925871928854767	0.9946716679420687	0.9626228015308467	0.1760943396226415	0.1760943396226415	0.6816792452830188	322.0	617.0	61.0	
54000	.1	r	0.012454365587711189	0.4829695360677108	0.4982962328526986	0.9875456343980293	0.9825105655011853	0.9266797327545991	0.1753148148148148	0.1753148148148148	0.6874444444444444	322.0	619.0	59.0	
55000	.1	r	0.01777796473776704	0.48411187003623185	0.4967006028337018	0.9822220352480032	0.9866814650131033	0.9347718368481032	0.1746	0.1746	0.6824	328.0	622.0	50.0	
56000	.1	r	0.013775065069305788	0.485630770072718	0.4941475614329046	0.9862249349164538	0.9898009516011854	0.936538614299785	0.173875	0.173875	0.6738035714285714	332.0	619.0	49.0	
57000	.1	r	0.009511674001757446	0.4844091104254382	0.4953022771087409	0.9904883259841462	0.9872917372315455	0.936000795318325	0.17310526315789473	0.17310526315789473	0.6722280701754386	344.0	608.0	48.0	
58000	.1	r	0.011175138162877152	0.4848916324398615	0.491507005502052	0.9888248618226116	0.9818605089878009	0.9514397998841083	0.1718103448275862	0.1718103448275862	0.6648793103448276	345.0	614.0	41.0	
59000	.1	r	0.011040499746485044	0.48432422963916893	0.49017042424634477	0.9889595002391952	0.9838029221262795	0.9081457706108945	0.17183050847457626	0.17183050847457626	0.6619830508474577	357.0	599.0	44.0	
60000	.1	r	0.008652957303342139	0.4825498416759372	0.4913060137316683	0.9913470426823705	0.9951286675700929	0.9661612740818962	0.17105	0.17105	0.6616333333333333	363.0	589.0	48.0	
61000	.1	r	0.013026814985198958	0.4826128504868126	0.4888884417736257	0.9869731850001598	0.9854921238443917	0.9466265126796928	0.17034426229508196	0.17034426229508196	0.6595737704918033	363.0	594.0	43.0	
62000	.1	r	0.00585547726328887	0.4805471707440023	0.49324232260624323	0.9941445227211695	0.9929159585370073	0.9552816115812478	0.17030645161290323	0.17030645161290323	0.6620322580645162	346.0	613.0	41.0	
63000	.1	r	0.01867279837285528	0.48000005013010416	0.497924713615261	0.9813272016108066	0.989571228114086	0.92635834395247	0.16968253968253968	0.16968253968253968	0.6645396825396825	333.0	627.0	40.0	
64000	.1	r	0.019032720010278587	0.47847887543291584	0.4964937382793367	0.9809672799741394	0.9899661825195064	0.9575055744739	0.169125	0.169125	0.669734375	355.0	610.0	35.0	
65000	.1	r	0.009869797610728526	0.4759982612071855	0.49662422813660895	0.9901302023735166	0.9875135356684085	0.9665624341801502	0.16893846153846154	0.16893846153846154	0.6802615384615385	356.0	620.0	24.0	
66000	.1	r	0.007982658233833324	0.47485004370378586	0.4943724113429085	0.9920173417495948	0.9930699847818442	0.9286744714152949	0.1685909090909091	0.1685909090909091	0.6838030303030304	345.0	631.0	24.0	
67000	.1	r	0.00606356402129878	0.47613957521880435	0.4937536405095752	0.9939364359617022	0.9948833403262533	0.9595586293835794	0.16688059701492539	0.16688059701492539	0.6750746268656717	342.0	634.0	24.0	
68000	.1	r	0.010756061273663867	0.47714422198952244	0.5013658618130662	0.9892439387093767	0.9919415396303448	0.9578480490255096	0.16595588235294118	0.16594117647058823	0.6680588235294118	351.0	626.0	22.0	
69000	.1	r	0.004744313187459851	0.47837745294448736	0.4984934636276024	0.995255686795308	0.9949786168735111	0.9394038103317919	0.16533333333333333	0.16533333333333333	0.6643333333333333	355.0	624.0	21.0	
70000	.1	r	0.0026561254180993217	0.4783312938612448	0.5002703216832465	0.9973438745652006	0.996144062158516	0.9843818170284353	0.1642142857142857	0.1642142857142857	0.6581714285714285	373.0	607.0	20.0	
71000	.1	r	0.010079144360294546	0.47500968757431145	0.5021657958624415	0.989920855621993	0.9822938881079694	0.9146734317314544	0.1635774647887324	0.1635774647887324	0.6629154929577464	358.0	625.0	17.0	
72000	.1	r	0.004955285316361128	0.4739913700658476	0.5062591819316459	0.9950447146664312	0.9941754661382152	0.9574869048356413	0.16291666666666665	0.16291666666666665	0.6658611111111111	372.0	609.0	19.0	
73000	.1	r	0.005561287022263809	0.47505496321993435	0.5090805077324763	0.9944387129611789	0.9926336149721634	0.9441505149288334	0.16217808219178081	0.16217808219178081	0.6645205479452054	392.0	589.0	19.0	
74000	.1	r	0.006158239804454351	0.4718264931336849	0.5044590035426713	0.9938417601788333	0.9907459659931717	0.9059964400387308	0.1612972972972973	0.1612972972972973	0.6664324324324324	408.0	573.0	19.0	
75000	.1	r	0.0010173060563877041	0.470948208344173	0.5127310825232327	0.9989826939271376	0.9989318524539058	0.979433036280864	0.15970666666666666	0.15970666666666666	0.6632133333333333	424.0	559.0	17.0	
76000	.1	r	5.813175199404568E-4	0.4710517797939264	0.5127310825232327	0.9994186824628559	0.9995710147552804	0.9957548359932652	0.15764473684210525	0.15764473684210525	0.6544868421052632	422.0	561.0	17.0	
