% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = b, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
% 	Parameters	Results
Timestep	vigilance	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, b, .01]
68000	true	0.0	0.44274809160305345	0.4330085261875761	1.0	1.0	0.9993909866017052	48.0	131.0	821.0	
69000	true	0.0	0.4409448818897638	0.43825665859564167	1.0	1.0	1.0	47.0	127.0	826.0	
70000	true	0.0	0.42578125	0.44343065693430656	1.0	1.0	1.0	50.0	128.0	822.0	
71000	true	0.0	0.42366412213740456	0.43605359317904996	1.0	1.0	1.0	48.0	131.0	821.0	
72000	true	0.0	0.4251968503937008	0.42117930204572807	1.0	1.0	1.0	42.0	127.0	831.0	
73000	true	0.0	0.42063492063492064	0.40794223826714804	1.0	1.0	1.0	43.0	126.0	831.0	
74000	true	0.0	0.4269230769230769	0.41116446578631455	1.0	1.0	1.0	37.0	130.0	833.0	
75000	true	0.0	0.4090909090909091	0.4157641395908544	1.0	1.0	0.9993983152827918	37.0	132.0	831.0	
76000	true	0.0	0.41729323308270677	0.42140266021765416	1.0	1.0	0.9993954050785974	40.0	133.0	827.0	
77000	true	0.0	0.42248062015503873	0.429171668667467	1.0	1.0	0.9993997599039616	38.0	129.0	833.0	
78000	true	0.0	0.40671641791044777	0.4276236429433052	1.0	1.0	1.0	37.0	134.0	829.0	
79000	true	0.0	0.40217391304347827	0.433252427184466	1.0	1.0	0.9993932038834952	38.0	138.0	824.0	
80000	true	0.0	0.42592592592592593	0.43606755126658625	1.0	1.0	1.0	36.0	135.0	829.0	
81000	true	0.0	0.4115384615384615	0.4268727705112961	1.0	1.0	1.0	29.0	130.0	841.0	
82000	true	0.0	0.41605839416058393	0.4308894230769231	1.0	1.0	1.0	31.0	137.0	832.0	
83000	true	0.0	0.40492957746478875	0.42857142857142855	1.0	1.0	1.0	32.0	142.0	826.0	
84000	true	0.0	0.4230769230769231	0.4400726392251816	1.0	1.0	1.0	31.0	143.0	826.0	
85000	true	0.0	0.42857142857142855	0.4411407766990291	1.0	1.0	0.9993932038834952	29.0	147.0	824.0	
86000	true	0.0	0.43309859154929575	0.44552058111380144	1.0	1.0	0.9993946731234867	32.0	142.0	826.0	
87000	true	0.0	0.42805755395683454	0.44028950542822676	1.0	1.0	0.9993968636911942	32.0	139.0	829.0	
88000	true	0.0	0.456	0.4237588652482269	1.0	1.0	1.0	29.0	125.0	846.0	
89000	true	0.0	0.45564516129032256	0.425531914893617	1.0	1.0	1.0	30.0	124.0	846.0	
90000	true	0.0	0.43951612903225806	0.42021276595744683	1.0	1.0	0.9994089834515366	30.0	124.0	846.0	
91000	true	0.0	0.43023255813953487	0.43206197854588796	1.0	1.0	0.9994040524433849	32.0	129.0	839.0	
92000	true	0.0	0.4411764705882353	0.43689903846153844	1.0	1.0	1.0	32.0	136.0	832.0	
93000	true	0.0	0.42857142857142855	0.44237695078031214	1.0	1.0	1.0	34.0	133.0	833.0	
94000	true	0.0	0.4432624113475177	0.44078144078144077	1.0	1.0	1.0	40.0	141.0	819.0	
95000	true	0.0	0.4513888888888889	0.45085995085995084	1.0	1.0	1.0	42.0	144.0	814.0	
96000	true	0.0	0.43214285714285716	0.4440344403444034	1.0	1.0	1.0	47.0	140.0	813.0	
97000	true	0.0	0.4185185185185185	0.4382640586797066	1.0	1.0	1.0	47.0	135.0	818.0	
98000	true	0.0	0.4015151515151515	0.4278728606356968	1.0	1.0	0.9993887530562348	50.0	132.0	818.0	
99000	true	0.0	0.39705882352941174	0.41564039408866993	1.0	1.0	1.0	52.0	136.0	812.0	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, false, .333, .333, .001, 25, false, b, .01]
0	false	NaN	0.5	0.5	NaN	0.5	0.5	0.0	666.0	334.0	
1000	false	NaN	0.4188102893890675	0.4497354497354497	NaN	1.0	1.0	0.0	622.0	378.0	
2000	false	NaN	0.3679927667269439	0.4272930648769575	NaN	1.0	1.0	0.0	553.0	447.0	
3000	false	NaN	0.3389830508474576	0.4337121212121212	NaN	1.0	1.0	0.0	472.0	528.0	
4000	false	NaN	0.3309692671394799	0.43847487001733104	NaN	1.0	1.0	0.0	423.0	577.0	
5000	false	NaN	0.32671957671957674	0.4284565916398714	NaN	1.0	0.9991961414790996	0.0	378.0	622.0	
6000	false	NaN	0.3132530120481928	0.42664670658682635	NaN	1.0	1.0	0.0	332.0	668.0	
7000	false	NaN	0.30344827586206896	0.41056338028169015	NaN	1.0	1.0	0.0	290.0	710.0	
8000	false	NaN	0.3041044776119403	0.42213114754098363	NaN	1.0	0.9993169398907104	0.0	268.0	732.0	
9000	false	NaN	0.302734375	0.42473118279569894	NaN	1.0	0.9993279569892473	0.0	256.0	744.0	
10000	false	NaN	0.3285123966942149	0.4340369393139842	NaN	1.0	1.0	0.0	242.0	758.0	
11000	false	NaN	0.334841628959276	0.4345314505776637	NaN	1.0	1.0	0.0	221.0	779.0	
12000	false	NaN	0.33413461538461536	0.42487373737373735	NaN	1.0	1.0	0.0	208.0	792.0	
13000	false	NaN	0.35194174757281554	0.4282115869017632	NaN	1.0	1.0	0.0	206.0	794.0	
14000	false	NaN	0.3341584158415842	0.4298245614035088	NaN	1.0	1.0	0.0	202.0	798.0	
15000	false	NaN	0.32741116751269034	0.4215442092154421	NaN	1.0	0.9993773349937733	0.0	197.0	803.0	
16000	false	NaN	0.3359375	0.4158415841584158	NaN	1.0	0.9993811881188119	0.0	192.0	808.0	
17000	false	NaN	0.3645833333333333	0.4251237623762376	NaN	1.0	1.0	0.0	192.0	808.0	
18000	false	NaN	0.3844221105527638	0.42384519350811484	NaN	1.0	1.0	0.0	199.0	801.0	
19000	false	NaN	0.39371980676328505	0.4255989911727617	NaN	1.0	0.9993694829760403	0.0	207.0	793.0	
20000	false	NaN	0.4079601990049751	0.4305381727158949	NaN	1.0	1.0	0.0	201.0	799.0	
21000	false	NaN	0.4073170731707317	0.4327044025157233	NaN	1.0	1.0	0.0	205.0	795.0	
22000	false	NaN	0.42091836734693877	0.42661691542288555	NaN	1.0	1.0	0.0	196.0	804.0	
23000	false	NaN	0.42245989304812837	0.4138991389913899	NaN	1.0	1.0	0.0	187.0	813.0	
24000	false	NaN	0.41578947368421054	0.4067901234567901	NaN	1.0	1.0	0.0	190.0	810.0	
25000	false	NaN	0.4052631578947368	0.3969135802469136	NaN	1.0	1.0	0.0	190.0	810.0	
26000	false	NaN	0.4162303664921466	0.396168108776267	NaN	1.0	1.0	0.0	191.0	809.0	
27000	false	NaN	0.4192708333333333	0.40717821782178215	NaN	1.0	1.0	0.0	192.0	808.0	
28000	false	NaN	0.4220430107526882	0.40540540540540543	NaN	1.0	0.9993857493857494	0.0	186.0	814.0	
29000	false	NaN	0.41237113402061853	0.3970223325062035	NaN	1.0	1.0	0.0	194.0	806.0	
30000	false	NaN	0.41483516483516486	0.402200488997555	NaN	1.0	0.9993887530562348	0.0	182.0	818.0	
31000	false	NaN	0.41847826086956524	0.41482843137254904	NaN	1.0	1.0	0.0	184.0	816.0	
32000	false	NaN	0.4225	0.416875	NaN	1.0	1.0	0.0	200.0	800.0	
33000	false	NaN	0.4228855721393035	0.41614518147684604	NaN	1.0	1.0	0.0	201.0	799.0	
34000	false	NaN	0.41586538461538464	0.42297979797979796	NaN	1.0	1.0	0.0	208.0	792.0	
35000	false	NaN	0.4223300970873786	0.4263224181360202	NaN	1.0	1.0	0.0	206.0	794.0	
36000	false	NaN	0.4206730769230769	0.4198232323232323	NaN	1.0	1.0	0.0	208.0	792.0	
37000	false	NaN	0.42289719626168226	0.42811704834605596	NaN	1.0	1.0	0.0	214.0	786.0	
38000	false	NaN	0.40654205607476634	0.4243002544529262	NaN	1.0	1.0	0.0	214.0	786.0	
39000	false	NaN	0.413953488372093	0.42547770700636944	NaN	1.0	1.0	0.0	215.0	785.0	
40000	false	NaN	0.4110576923076923	0.42613636363636365	NaN	1.0	1.0	0.0	208.0	792.0	
41000	false	NaN	0.4107981220657277	0.4269377382465057	NaN	1.0	1.0	0.0	213.0	787.0	
42000	false	NaN	0.4178082191780822	0.43085787451984636	NaN	1.0	1.0	0.0	219.0	781.0	
43000	false	NaN	0.41898148148148145	0.4272959183673469	NaN	1.0	1.0	0.0	216.0	784.0	
44000	false	NaN	0.4154929577464789	0.42820838627700125	NaN	1.0	1.0	0.0	213.0	787.0	
45000	false	NaN	0.4147465437788018	0.41762452107279696	NaN	1.0	1.0	0.0	217.0	783.0	
46000	false	NaN	0.42452830188679247	0.42449238578680204	NaN	0.9976415094339622	1.0	0.0	212.0	788.0	
47000	false	NaN	0.43902439024390244	0.42830188679245285	NaN	1.0	1.0	0.0	205.0	795.0	
48000	false	NaN	0.4282178217821782	0.4342105263157895	NaN	1.0	0.9993734335839599	0.0	202.0	798.0	
49000	false	NaN	0.43147208121827413	0.4339975093399751	NaN	1.0	1.0	0.0	197.0	803.0	
50000	false	NaN	0.4214659685863874	0.4369592088998764	NaN	1.0	1.0	0.0	191.0	809.0	
51000	false	NaN	0.4016393442622951	0.4368872549019608	NaN	1.0	1.0	0.0	183.0	816.0	
52000	false	NaN	0.39790575916230364	0.4295426452410383	NaN	1.0	1.0	0.0	191.0	809.0	
53000	false	NaN	0.3877551020408163	0.43407960199004975	NaN	1.0	1.0	0.0	196.0	804.0	
54000	false	NaN	0.39949748743718594	0.4444444444444444	NaN	1.0	0.9993757802746567	0.0	199.0	801.0	
55000	false	NaN	0.39646464646464646	0.4339152119700748	NaN	1.0	1.0	0.0	198.0	802.0	
56000	false	NaN	0.3864864864864865	0.43803680981595094	NaN	1.0	1.0	0.0	185.0	815.0	
57000	false	NaN	0.3810810810810811	0.43803680981595094	NaN	1.0	1.0	0.0	185.0	815.0	
58000	false	NaN	0.37777777777777777	0.42621951219512194	NaN	1.0	1.0	0.0	180.0	820.0	
59000	false	NaN	0.3756906077348066	0.42063492063492064	NaN	1.0	1.0	0.0	181.0	819.0	
60000	false	NaN	0.3689839572192513	0.4102091020910209	NaN	1.0	1.0	0.0	187.0	813.0	
61000	false	NaN	0.4020618556701031	0.4075682382133995	NaN	0.9974226804123711	1.0	0.0	194.0	806.0	
62000	false	NaN	0.4166666666666667	0.4152227722772277	NaN	1.0	1.0	0.0	192.0	808.0	
63000	false	NaN	0.41494845360824745	0.4075682382133995	NaN	1.0	1.0	0.0	194.0	806.0	
64000	false	NaN	0.3994708994708995	0.40505548705302097	NaN	1.0	1.0	0.0	189.0	811.0	
65000	false	NaN	0.38920454545454547	0.41504854368932037	NaN	1.0	0.9993932038834952	0.0	176.0	824.0	
66000	false	NaN	0.4	0.4208588957055215	NaN	1.0	1.0	0.0	185.0	815.0	
67000	false	NaN	0.39690721649484534	0.4218362282878412	NaN	1.0	1.0	0.0	194.0	806.0	
