% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .01, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = 1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%basevig = [.01, .05, .1]
%learnalg = [r, n, b]
% 	Parameters		Results
Timestep	basevig	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .01, true, .334, .333, .001, 25, 0, 1, true, r, .01]
71000	.01	r	0.016856952359262444	0.48747400235698746	0.49194720796194474	0.9831430476072075	0.9829155849351344	0.9240841218388489	0.14	0.14	0.101	607.0	341.0	52.0	
72000	.01	r	0.005567493494159412	0.4873223468090828	0.4904784867658271	0.9944325064709981	0.9974290655959054	0.9715921341316759	0.092	0.092	0.207	595.0	356.0	49.0	
73000	.01	r	0.005269202188499713	0.48837929370542665	0.4924333756744799	0.9947307977755364	0.9919231618877673	0.947524808150304	0.115	0.115	0.033	584.0	375.0	41.0	
74000	.01	r	0.01726673156623625	0.4879792489069181	0.49348910602518903	0.9827332683977666	0.9888511108059054	0.9429816944279875	0.113	0.113	0.177	599.0	362.0	39.0	
75000	.01	r	0.00706772983507058	0.48932573654205896	0.48742061476609483	0.992932270127661	0.9948211064646608	0.9442527115579034	0.1	0.1	0.314	587.0	377.0	36.0	
76000	.01	r	0.025117651762401483	0.48874386828963645	0.4887648603839676	0.9748823481981799	0.9829270371400308	0.9133750551002704	0.167	0.167	0.333	562.0	403.0	35.0	
77000	.01	r	0.01435474220348348	0.48804303471045485	0.4857681034090526	0.9856452577567928	0.9910424095938499	0.9105001505700532	0.135	0.135	0.258	565.0	403.0	32.0	
78000	.01	r	0.009738009767534665	0.4888874810357261	0.4869283753953002	0.9902619901913363	0.9952622779561456	0.940940488486602	0.124	0.124	0.153	552.0	423.0	25.0	
79000	.01	r	0.010045547979364317	0.4886792970461485	0.48750705609149636	0.9899544519766125	0.992841179930995	0.9401254546525525	0.115	0.115	0.202	528.0	450.0	22.0	
80000	.01	r	0.011967436019857733	0.4812121791913341	0.4905406392169644	0.988032563935481	0.9848773233702469	0.9334378615123381	0.123	0.123	1.364	525.0	450.0	25.0	
81000	.01	r	7.967221306369645E-4	0.4820168372176058	0.4923956948779792	0.9992032778236264	0.9992782647329048	0.9797534806533841	0.046	0.046	0.012	516.0	463.0	21.0	
82000	.01	r	0.0021727462989758503	0.4827536798079052	0.491365435376101	0.997827253653565	0.9966779076757429	0.9765807792833825	0.044	0.044	0.033	503.0	478.0	19.0	
