% Base Parameters: Dims = 100, predfreq = .01, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = 0, indvprop = .5, mutrate = .001, fthresh = 25, fleeforage = 1, stayforage = 1, predflee = 0, localbirth = false, minlifespan = 125, lifespanrange = 50, learnalg = n, lrate = .01, 

% Test Parameters:
%predflee = [0, .5, 1]
%learnalg = [n, r, b]
% 		Parameters		Results
Seed	Timestep	predflee	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .01, 1, .1, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .001, true, 0, .5, .001, 25, 1, 1, 0, false, 125, 50, n, .01]
0	6450	0	n	0.309882675275193	0.4962855367404876	0.503329727547151	0.690117324724784	0.6781706491761377	0.4464951089135379	2.3780016295346518	2.5308046661923433	2.25203049584222	0.0	0.0	0.0	0.33891472868217054	7.35968992248062	26.282945736434108	65.0	260.0	653.0	
0	6600	0	n	0.2677642950994127	0.4895499805062325	0.5063188205833968	0.7322357049005548	0.7058310516968551	0.43954135606380834	2.46361877117961	2.5797363630195127	2.3099649060313316	0.0	0.0	0.0	0.3390909090909091	7.339090909090909	26.56681818181818	45.0	256.0	521.0	
0	6750	0	n	0.2911824786491264	0.4910379571403289	0.5056556468724018	0.7088175213508453	0.7023826417654107	0.45391759646451757	2.4805679237219826	2.6178365081809996	2.346558605062144	0.0	0.0	0.0	0.33644444444444443	7.346962962962963	26.504444444444445	50.0	266.0	558.0	
0	6900	0	n	0.3028062017570324	0.49625234073715657	0.5042278753884228	0.6971937982429351	0.6996585212798725	0.44584104963831855	2.4994358482502848	2.6742091431272814	2.398296231864485	0.0	0.0	0.0	0.33594202898550724	7.355072463768116	26.448840579710144	50.0	299.0	589.0	
0	7050	0	n	0.2938107660375282	0.48903241924885377	0.5045575367383615	0.7061892339624396	0.6789085854398069	0.45369552372752686	2.5403202871322206	2.7237125235057853	2.449445340157324	0.0	0.0	0.0	0.3353191489361702	7.363404255319149	26.492340425531914	50.0	367.0	551.0	
0	7200	0	n	0.2993831161881843	0.49347563977584735	0.5018949611879846	0.7006168838117761	0.7174534366720914	0.44887929906945234	2.610825337637271	2.787242175209452	2.492485497653044	0.0	0.0	0.0	0.3348611111111111	7.342083333333333	26.45111111111111	41.0	291.0	492.0	
0	7350	0	n	0.2927832639459475	0.49272277934466424	0.5045217048059325	0.7072167360540242	0.7119677945848439	0.45061198894757676	2.675194853559582	2.8537299663539923	2.5457475146164366	0.0	0.0	0.0	0.3352380952380952	7.352517006802721	26.462312925170068	47.0	300.0	516.0	
0	7500	0	n	0.28264145577689576	0.49529755785902707	0.5030870585863523	0.717358544223077	0.7103491965966892	0.4534858968161519	2.694062778087884	2.903209675742528	2.5904201228237262	0.0	0.0	0.0	0.334	7.356933333333333	26.266666666666666	53.0	328.0	518.0	
0	7650	0	n	0.3101169601011608	0.4931531774439979	0.5035932118750573	0.6898830398988092	0.6892710455922153	0.46126454175205867	2.751449221134705	2.9645851817747415	2.6322122903604908	0.0	0.0	0.0	0.3333333333333333	7.365098039215686	26.28052287581699	63.0	338.0	552.0	
0	7800	0	n	0.34052929484651506	0.49648192068623836	0.5040065162896565	0.6594707051534398	0.6821450815374498	0.4578042562027074	2.817818726940679	3.0468394726892982	2.6960225509704348	0.0	0.0	0.0	0.33525641025641023	7.37474358974359	26.230641025641027	51.0	366.0	583.0	
