% Base Parameters: Dims = 5, predfreq = .1, huntsteps = 1000, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 3, basevig = .001, vigilance = true, vigprop = .3, indvprop = .3, mutrate = .001, fthresh = 150, stayforage = 1, foragediff = .01, localbirth = false, minlifespan = 200, lifespanrange = 0, learnalg = n, lrate = .001, 

% Test Parameters:
%learnalg = [n, r]
%lrate = [.001, .01, .1]
% 	Parameters		Results
Seed	learnalg	lrate	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	VigOffspring	IndOffspring	SocOffspring	VigLifespan	IndLifespan	SocLifespan	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
0	n	.1	0.17871672736757072	0.5846058829597942	0.5951035524568293	0.8212832726324293	0.8089055250629975	0.31697187254888287	0.0	0.0	0.0	2.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.9328859060402684	1.0	1.0	1.0	
1	n	.1	0.27189971662545454	0.4550409973891396	0.5846719700976624	0.7281002833745456	0.8933438318166372	0.6952215331847901	0.0	0.0	0.0	0.0	1.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.6644295302013423	1.0	1.0	1.0	
2	n	.1	0.6133672280508545	0.4373310280405426	0.773407458018638	0.38663277194914536	0.7110259553175474	0.3141442985861297	0.0	0.0	0.0	3.0	1.0	2.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.5973154362416108	1.0	1.0	1.0	
3	n	.1	0.2771309065159212	0.7125298507711013	0.542709638425099	0.7228690934840788	0.8234896093582722	0.6996630257709542	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.6644295302013423	1.0	1.0	1.0	
4	n	.1	0.34034616068256257	0.3671822517847222	0.8406965396521686	0.6596538393174374	0.8738404226838016	0.4739302717087189	0.0	0.0	0.0	1.0	1.0	4.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.5369127516778524	1.0	1.0	1.0	
5	n	.1	0.42502939407618234	0.7701673676783517	0.4078107794387667	0.5749706059238177	0.7438672849662468	0.39417298149501057	0.0	0.0	0.0	0.0	0.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.6174496644295302	1.0	1.0	1.0	
6	n	.1	0.4636190012576649	0.6890179810672886	0.6901097749977807	0.5363809987423351	0.6244348592915027	0.6358280257192349	0.0	0.0	0.0	1.0	1.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.35570469798657717	1.0	1.0	1.0	
7	n	.1	0.5654926200012699	0.6346789715773277	0.8090159141517376	0.43450737999873	0.6105485663992817	0.5216688336156782	0.0	0.0	0.0	1.0	2.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.7114093959731543	1.0	1.0	1.0	
8	n	.1	0.23399159374998296	0.5586584024492101	0.6735106725748414	0.7660084062500171	0.9110614354863523	0.6017529490082983	0.0	0.0	0.0	1.0	1.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.5033557046979866	1.0	1.0	1.0	
9	n	.1	0.33345271369722185	0.6171477277714912	0.6651023388664419	0.6665472863027782	0.8461570438055396	0.6481189284969014	0.0	0.0	0.0	1.0	0.0	2.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.8053691275167785	1.0	1.0	1.0	
0	r	.001	0.48095755974535304	0.49722720767877693	0.510040847452564	0.519042440254647	0.513168744154304	0.5067879667968063	0.0	0.0	0.0	0.0	1.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.7516778523489933	1.0	1.0	1.0	
1	r	.001	0.5042605457265132	0.5003574994449916	0.5271369705697081	0.49573945427348676	0.509266338863199	0.4980120637793223	0.0	0.0	0.0	0.0	1.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.6912751677852349	1.0	1.0	1.0	
2	r	.001	0.47576008185979624	0.5093584309085027	0.5125676364490259	0.5242399181402038	0.5153449644719725	0.49251270425361504	0.0	0.0	0.0	3.0	0.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.5234899328859061	1.0	1.0	1.0	
3	r	.001	0.49229198968163296	0.5063432878261858	0.5232866077180641	0.5077080103183671	0.5049016012437244	0.49701950520518534	0.0	0.0	0.0	1.0	1.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.6912751677852349	1.0	1.0	1.0	
4	r	.001	0.4873591929230744	0.5102259261835781	0.5192120504970996	0.5126408070769256	0.509500127095773	0.4897571717285393	0.0	0.0	0.0	0.0	1.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.5302013422818792	1.0	1.0	1.0	
5	r	.001	0.4973471870652899	0.5069079543604832	0.5342512082529655	0.5026528129347101	0.5107980739038676	0.4990897179789674	0.0	0.0	0.0	1.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.5704697986577181	1.0	1.0	1.0	
6	r	.001	0.4821879145436832	0.5042141727452039	0.5156422755520556	0.5178120854563169	0.5178357668964182	0.5000005507670489	0.0	0.0	0.0	2.0	0.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.6174496644295302	1.0	1.0	1.0	
7	r	.001	0.4779570847949906	0.49670772358150794	0.5240248958580346	0.5220429152050095	0.5093152833485987	0.49563825576352594	0.0	0.0	0.0	0.0	1.0	2.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.7919463087248322	1.0	1.0	1.0	
8	r	.001	0.5117427323841672	0.4809506779130261	0.4989347958874175	0.48825726761583277	0.5054188402204054	0.5024206573543852	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	1.0939597315436242	1.0	1.0	1.0	
9	r	.001	0.5028464954362946	0.5256986432565186	0.524549266592337	0.49715350456370544	0.5113743810892741	0.49803421760463107	0.0	0.0	0.0	0.0	1.0	2.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.697986577181208	1.0	1.0	1.0	
0	r	.01	0.5363131542934133	0.4127080064729846	0.6038696035827961	0.4636868457065867	0.5527446735191752	0.4615735463321111	0.0	0.0	0.0	0.0	0.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.8322147651006712	1.0	1.0	1.0	
1	r	.01	0.5622828829257235	0.5041612538621232	0.6559648858653119	0.4377171170742765	0.557205398130832	0.4944534770535455	0.0	0.0	0.0	0.0	1.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.7046979865771812	1.0	1.0	1.0	
2	r	.01	0.28958602782563225	0.44162727881724995	0.45367271847028856	0.7104139721743677	0.6295200952512271	0.627446442543658	0.0	0.0	0.0	0.0	1.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.697986577181208	1.0	1.0	1.0	
3	r	.01	0.45181117611769656	0.4547405845703742	0.6899658762375588	0.5481888238823034	0.5345661682003546	0.4985340899279821	0.0	0.0	0.0	0.0	0.0	2.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.6778523489932886	1.0	1.0	1.0	
4	r	.01	0.39429652401991716	0.5366836787376081	0.530858181112648	0.6057034759800828	0.6163406379511678	0.5075651832681554	0.0	0.0	0.0	0.0	0.0	2.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.7583892617449665	1.0	1.0	1.0	
