% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = false, minlifespan = 125, lifespanrange = 50, learnalg = n, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .01, .1]
%huntsteps = [1, 10, 100, 100000]
%fleeforage = [0, .5, 1]
%stayforage = [.1, .5, 1]
% 	Parameters				Results
Seed	predfreq	huntsteps	fleeforage	stayforage	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
3	.001	1	.5	.1	Infinity	Infinity	-Infinity	Infinity	Infinity	Infinity	0.564955823275355	1.0137279249448123	0.06500264836845912	1825.9299248975692	885.5935568071084	1151.3857855309252	8.710217755443886E-4	0.07135678391959799	0.03185929648241206	0.0	0.0	0.0	
4	.001	1	.5	.1	-Infinity	-Infinity	-Infinity	-Infinity	Infinity	Infinity	0.006473102061337355	0.04839505894910691	0.21545820000702115	662.9965410655569	756.0837166147421	1292.8372022234553	8.375209380234506E-4	0.07795644891122278	0.020234505862646565	0.0	0.0	0.0	
5	.001	1	.5	.1	Infinity	NaN	NaN	-Infinity	-Infinity	-Infinity	0.03470148334278624	0.04256121736439403	0.019038573561174457	1088.8726689257264	1598.0947143984176	1170.0475828898375	5.695142378559464E-4	0.07876046901172529	6.700167504187605E-5	0.0	0.0	0.0	
6	.001	1	.5	.1	-Infinity	Infinity	NaN	-Infinity	Infinity	-Infinity	0.013970117258833872	0.025338839408928705	0.11240936326861409	808.5446291262718	883.5718077398394	1485.194757291397	6.365159128978225E-4	0.07788944723618091	0.018224455611390286	0.0	0.0	0.0	
7	.001	1	.5	.1	Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	0.08670970781173054	0.027116243545508383	0.0649143019206837	852.5099662180063	958.3742037685776	1513.659008746636	0.0011055276381909548	0.08780569514237856	0.03199329983249581	0.0	0.0	0.0	
8	.001	1	.5	.1	-Infinity	-Infinity	-Infinity	Infinity	Infinity	-Infinity	0.08681660113438087	0.1526096182789819	0.3002744685919349	840.4230616389292	822.804784785966	1296.434100826376	0.0010385259631490787	0.09350083752093802	0.018425460636515914	0.0	0.0	0.0	
9	.001	1	.5	.1	-Infinity	-Infinity	Infinity	-Infinity	-Infinity	Infinity	0.016586921850079744	0.02040147819590358	0.10564377248118076	1165.5229018056841	1056.361453931892	1136.1720819407317	7.035175879396985E-4	0.08056951423785595	0.024020100502512562	0.0	0.0	0.0	
10	.001	1	.5	.1	-Infinity	-Infinity	-Infinity	-Infinity	Infinity	-Infinity	0.006558641975308642	0.018879314752904754	0.05427170594908299	1644.5181172924974	826.4156997354594	1092.485645370709	7.035175879396985E-4	0.08247906197654942	0.02693467336683417	0.0	0.0	0.0	
1	.001	1	.5	.5	0.2935529403143826	0.4999228012909851	0.5000621248402435	0.7064470596855079	0.6992801039408905	0.4363435039710838	1.7620094214368698	1.8640965849882245	1.9369916022839901	14806.460923674635	14804.308068099377	14809.746290707975	0.0621105527638191	7.989447236180904	2.022211055276382	170.0	253.0	576.0	
2	.001	1	.5	.5	0.2755832039163161	0.4995122677109673	0.499742426195302	0.7244167960815024	0.7082603599653242	0.4648121396100165	1.5310736733285972	1.787114957476253	1.975831115391585	14670.549923362385	14816.177378694047	14805.090045312478	0.06056951423785595	7.973701842546063	2.738056951423786	10.0	607.0	383.0	
