% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = b, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
% 	Parameters	Results
Timestep	vigilance	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, b, .01]
210000	false	NaN	0.39617486338797814	0.43268053855569155	NaN	1.0	0.9993880048959608	0.0	183.0	817.0	
220000	false	NaN	0.375	0.41225961538461536	NaN	1.0	1.0	0.0	168.0	832.0	
230000	false	NaN	0.40492957746478875	0.42599067599067597	NaN	1.0	0.9988344988344988	0.0	142.0	858.0	
240000	false	NaN	0.381294964028777	0.40476190476190477	NaN	1.0	1.0	0.0	139.0	861.0	
250000	false	NaN	0.3898809523809524	0.4248798076923077	NaN	1.0	1.0	0.0	168.0	832.0	
260000	false	NaN	0.38268156424581007	0.42509135200974424	NaN	1.0	0.9993909866017052	0.0	179.0	821.0	
270000	false	NaN	0.36363636363636365	0.4282380396732789	NaN	1.0	0.9994165694282381	0.0	143.0	857.0	
280000	false	NaN	0.40131578947368424	0.4033018867924528	NaN	1.0	1.0	0.0	152.0	848.0	
290000	false	NaN	0.3952702702702703	0.4154929577464789	NaN	1.0	0.9994131455399061	0.0	148.0	852.0	
300000	false	NaN	0.40397350993377484	0.4369846878680801	NaN	1.0	0.9988221436984688	0.0	151.0	849.0	
310000	false	NaN	0.40070921985815605	0.44644935972060534	NaN	1.0	1.0	0.0	141.0	859.0	
320000	false	NaN	0.3700787401574803	0.42783505154639173	NaN	1.0	0.9994272623138603	0.0	127.0	873.0	
330000	false	NaN	0.3804347826086957	0.43006607929515417	NaN	1.0	1.0	0.0	92.0	908.0	
340000	false	NaN	0.45569620253164556	0.4223669923995657	NaN	1.0	0.999457111834962	0.0	79.0	921.0	
350000	false	NaN	0.43902439024390244	0.4275599128540305	NaN	1.0	1.0	0.0	82.0	918.0	
360000	false	NaN	0.4368932038834951	0.427536231884058	NaN	1.0	0.9994425863991081	0.0	103.0	897.0	
370000	false	NaN	0.419811320754717	0.4451901565995526	NaN	1.0	1.0	0.0	106.0	894.0	
380000	false	NaN	0.44537815126050423	0.4279228149829739	NaN	1.0	1.0	0.0	119.0	881.0	
390000	false	NaN	0.38271604938271603	0.4314472252448313	NaN	1.0	1.0	0.0	81.0	919.0	
400000	false	NaN	0.413265306122449	0.4240576496674058	NaN	1.0	1.0	0.0	98.0	902.0	
410000	false	NaN	0.43037974683544306	0.43322475570032576	NaN	1.0	1.0	0.0	79.0	921.0	
420000	false	NaN	0.4107142857142857	0.4596069868995633	NaN	1.0	0.9989082969432315	0.0	84.0	916.0	
430000	false	NaN	0.4473684210526316	0.43213149522799577	NaN	1.0	0.9994697773064687	0.0	57.0	943.0	
440000	false	NaN	0.4344262295081967	0.4323748668796592	NaN	1.0	1.0	0.0	61.0	939.0	
450000	false	NaN	0.4117647058823529	0.4361587982832618	NaN	1.0	1.0	0.0	68.0	932.0	
460000	false	NaN	0.40298507462686567	0.42979635584137194	NaN	1.0	1.0	0.0	67.0	933.0	
470000	false	NaN	0.4012345679012346	0.4281828073993471	NaN	1.0	0.999455930359086	0.0	81.0	919.0	
480000	false	NaN	0.42857142857142855	0.44868995633187775	NaN	1.0	1.0	0.0	84.0	916.0	
490000	false	NaN	0.41566265060240964	0.4323882224645583	NaN	1.0	1.0	0.0	83.0	917.0	
500000	false	NaN	0.4182692307692308	0.43526785714285715	NaN	1.0	1.0	0.0	104.0	896.0	
510000	false	NaN	0.39545454545454545	0.4314606741573034	NaN	1.0	1.0	0.0	110.0	890.0	
520000	false	NaN	0.3883495145631068	0.4175027870680045	NaN	1.0	1.0	0.0	103.0	897.0	
530000	false	NaN	0.3923076923076923	0.42011494252873566	NaN	1.0	0.9994252873563219	0.0	130.0	870.0	
540000	false	NaN	0.3816793893129771	0.4315304948216341	NaN	1.0	1.0	0.0	131.0	869.0	
550000	false	NaN	0.3724137931034483	0.4245614035087719	NaN	1.0	1.0	0.0	145.0	855.0	
560000	false	NaN	0.41228070175438597	0.43727382388419783	NaN	0.9970760233918129	1.0	0.0	171.0	829.0	
570000	false	NaN	0.42024539877300615	0.4348864994026284	NaN	1.0	1.0	0.0	163.0	837.0	
580000	false	NaN	0.42857142857142855	0.43669402110199296	NaN	1.0	1.0	0.0	147.0	853.0	
590000	false	NaN	0.4351145038167939	0.4574223245109321	NaN	1.0	1.0	0.0	131.0	869.0	
600000	false	NaN	0.43333333333333335	0.4375	NaN	1.0	1.0	0.0	120.0	880.0	
610000	false	NaN	0.3814814814814815	0.4190751445086705	NaN	1.0	1.0	0.0	135.0	865.0	
620000	false	NaN	0.3951612903225806	0.4257990867579909	NaN	1.0	1.0	0.0	124.0	876.0	
630000	false	NaN	0.358974358974359	0.41223103057757643	NaN	1.0	0.9988674971687429	0.0	117.0	883.0	
640000	false	NaN	0.398989898989899	0.4384017758046615	NaN	1.0	1.0	0.0	99.0	901.0	
650000	false	NaN	0.41847826086956524	0.42400881057268724	NaN	1.0	1.0	0.0	92.0	908.0	
660000	false	NaN	0.44554455445544555	0.432146829810901	NaN	1.0	0.9994438264738599	0.0	101.0	899.0	
670000	false	NaN	0.3707865168539326	0.4281009879253567	NaN	1.0	1.0	0.0	89.0	911.0	
680000	false	NaN	0.42592592592592593	0.427061310782241	NaN	1.0	0.9994714587737844	0.0	54.0	946.0	
690000	false	NaN	0.3984375	0.4342948717948718	NaN	1.0	1.0	0.0	64.0	936.0	
700000	false	NaN	0.38636363636363635	0.4189330543933054	NaN	1.0	0.9994769874476988	0.0	44.0	956.0	
