% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = n, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
%learnalg = [n, r, b]
% 	Parameters		Results
Timestep	vigilance	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, n, .01]
290000	true	n	0.023210990870983217	0.4908189328582224	0.5087344069110386	0.9767890091295184	0.9805027568768324	0.933773788603142	432.0	536.0	32.0	
300000	true	n	0.01856104290542056	0.4910616894465412	0.5002977016250093	0.9814389570951221	0.979308338548152	0.9464136613282804	449.0	534.0	17.0	
310000	true	n	0.023167737780172313	0.49066255857945595	0.5021619338256802	0.9768322622205332	0.9773847804166079	0.9410151974738331	408.0	578.0	14.0	
320000	true	n	0.019048063875301786	0.4912338047456033	0.5041563643102931	0.9809519361253696	0.9822055433867557	0.927624488813062	397.0	598.0	5.0	
330000	true	n	0.02164488107356767	0.4918499033471861	0.48767206888925685	0.9783551189270229	0.9774144159537094	0.9023624382940817	402.0	593.0	5.0	
340000	true	n	0.024937042318706578	0.48841258096669854	0.49999999999998035	0.9750629576818072	0.9781629365674093	0.9451255752377384	408.0	585.0	7.0	
350000	true	n	0.016716956527507938	0.4905625242284251	0.5099428762992608	0.9832830434730052	0.9787370145919951	0.9553502330834154	385.0	609.0	6.0	
360000	true	n	0.021350148350219568	0.4887057743193059	0.4999999999999311	0.9786498516504045	0.9789274964287303	0.9688597817759642	375.0	623.0	2.0	
370000	true	n	0.018140514878624857	0.4885031470574436	-Infinity	0.981859485121964	0.9777602902601722	-Infinity	350.0	650.0	0.0	
380000	true	n	0.02622183023697357	0.49204350924139967	-Infinity	0.9737781697636197	0.9775672427155265	-Infinity	384.0	616.0	0.0	
390000	true	n	0.018254287378330528	0.4839782580344656	-Infinity	0.981745712622176	0.9773249241291067	-Infinity	384.0	616.0	0.0	
400000	true	n	0.02005384093251577	0.4859398821398733	-Infinity	0.9799461590679374	0.9735397006540961	-Infinity	372.0	628.0	0.0	
410000	true	n	0.01880420530091982	0.49150844493604845	-Infinity	0.98119579469942	0.9803853216287868	-Infinity	371.0	629.0	0.0	
420000	true	n	0.02391139557898461	0.48857237954038824	-Infinity	0.9760886044214124	0.978275940386069	-Infinity	370.0	630.0	0.0	
430000	true	n	0.021490706167048085	0.48899018195365296	0.4999999999999541	0.9785092938332749	0.9754170143668613	0.861711227433493	396.0	601.0	3.0	
440000	true	n	0.021845426896538553	0.4873523346911496	0.4956258336653946	0.9781545731035552	0.9829913952846512	0.9215043531083134	450.0	542.0	8.0	
