% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = n, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
%learnalg = [n, r]
%lrate = [.01, .05, .1]
% 	Parameters			Results
Timestep	vigilance	learnalg	lrate	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, n, .01]
470000	true	n	.01	0.028371631190367917	0.48966160509454504	-Infinity	0.971628368817856	0.9782413176127117	Infinity	13.0	987.0	0.0	
480000	true	n	.01	0.012957324488271827	0.48733090515154326	-Infinity	0.9870426755188427	0.975565171915742	Infinity	15.0	985.0	0.0	
490000	true	n	.01	0.05895774616122604	0.4837943202005961	-Infinity	0.9410422538469809	0.9771581985013003	Infinity	13.0	986.0	0.0	
500000	true	n	.01	0.04087674680868014	0.48616087343726205	-Infinity	0.9591232532001848	0.9794761663990826	Infinity	12.0	988.0	0.0	
510000	true	n	.01	0.011490846934149363	0.4889796778756717	0.5233468939158616	0.988509153074718	0.979548506887868	0.9319626449238929	12.0	986.0	2.0	
520000	true	n	.01	0.018461568574283604	0.4909429629974904	-Infinity	0.9815384314320025	0.976473347507729	Infinity	17.0	983.0	0.0	
530000	true	n	.01	0.010094515899333857	0.4919166361069166	-Infinity	0.989905484110378	0.9808086585808571	Infinity	11.0	989.0	0.0	
540000	true	n	.01	0.011924291832176224	0.4870718800036095	-Infinity	0.9880757081944889	0.975831798924141	Infinity	4.0	996.0	0.0	
550000	true	n	.01	0.039707261727254604	0.4905166497287885	0.49999999999994393	0.9602927383082952	0.9849389560054912	0.9330279214685195	3.0	995.0	2.0	
560000	true	n	.01	0.01019408215182669	0.4913238985083327	-Infinity	0.9898059178837121	0.9818288721221402	Infinity	3.0	997.0	0.0	
570000	true	n	.01	0.007545340399748409	0.49030482523740176	-Infinity	0.9924546596269099	0.9787159976130254	Infinity	4.0	996.0	0.0	
580000	true	n	.01	-Infinity	0.4886089298139053	-Infinity	Infinity	0.9765868658158553	Infinity	0.0	1000.0	0.0	
590000	true	n	.01	-Infinity	0.4905271628013448	-Infinity	Infinity	0.981015222866943	Infinity	0.0	1000.0	0.0	
600000	true	n	.01	0.008932929379847373	0.4891743585566672	0.499999999999972	0.9910670706556924	0.9804465720860122	0.9495241178254247	3.0	993.0	4.0	
610000	true	n	.01	-Infinity	0.4896725341292626	0.514597998673034	Infinity	0.9753865344893167	0.9344710098665884	0.0	994.0	6.0	
620000	true	n	.01	0.010275575690764349	0.4873178246180862	0.4999999999999633	0.9897244243358941	0.9766448969295757	0.9402784577079387	4.0	993.0	3.0	
630000	true	n	.01	0.016371675384387916	0.48904185414404017	0.508768119984437	0.9836283246232351	0.9805508695953636	0.9512948500866666	14.0	980.0	6.0	
640000	true	n	.01	0.004676464654958813	0.49143210776056306	0.5206224842640906	0.9953235353628228	0.9777024061172768	0.9368412023577518	6.0	989.0	5.0	
650000	true	n	.01	-Infinity	0.4900123632256765	0.4928175475972944	Infinity	0.9752015748370758	0.9490861328508199	0.0	995.0	5.0	
660000	true	n	.01	-Infinity	0.49259390072333625	0.48962039850314776	Infinity	0.9855184212821164	0.9518688393733926	0.0	997.0	3.0	
670000	true	n	.01	-Infinity	0.490417481955353	-Infinity	Infinity	0.9765661786364641	Infinity	0.0	1000.0	0.0	
680000	true	n	.01	-Infinity	0.4889207588009524	-Infinity	Infinity	0.9778359905086342	Infinity	0.0	1000.0	0.0	
690000	true	n	.01	-Infinity	0.48972334713886	-Infinity	Infinity	0.9737743275495566	Infinity	0.0	1000.0	0.0	
700000	true	n	.01	-Infinity	0.48918352449347446	-Infinity	Infinity	0.9778301821166949	Infinity	0.0	1000.0	0.0	
710000	true	n	.01	-Infinity	0.4873822743870286	-Infinity	Infinity	0.9786457617379098	Infinity	0.0	1000.0	0.0	
720000	true	n	.01	-Infinity	0.48719866812050244	0.5214160637037851	Infinity	0.9753454383514034	0.9326045568512079	0.0	999.0	1.0	
730000	true	n	.01	-Infinity	0.4901659688648683	-Infinity	Infinity	0.9740093515648861	Infinity	0.0	1000.0	0.0	
740000	true	n	.01	-Infinity	0.4919959925467334	-Infinity	Infinity	0.9758184617097055	Infinity	0.0	1000.0	0.0	
750000	true	n	.01	-Infinity	0.49221467428466525	-Infinity	Infinity	0.9803221347503227	Infinity	0.0	1000.0	0.0	
760000	true	n	.01	0.00720744266345232	0.4894286289612765	0.49999999999989064	0.9927925573898864	0.9834011863706723	0.937818845397346	2.0	997.0	1.0	
770000	true	n	.01	0.004979698422193162	0.4900718368977725	0.4999999999999454	0.9950203016311457	0.9798592823249359	0.9572160091194386	2.0	996.0	2.0	
780000	true	n	.01	0.008023887013743864	0.4898995370928579	-Infinity	0.9919761130395948	0.9814001082023692	Infinity	2.0	998.0	0.0	
790000	true	n	.01	0.11955036207618108	0.4914161591801274	0.4750874176379742	0.8804496380305055	0.9792682361244617	0.9621413403529321	1.0	996.0	3.0	
800000	true	n	.01	0.04801254076985956	0.49298896853628826	0.5523393949519937	0.9519874592568136	0.9805221303975469	0.9521786259605483	4.0	995.0	1.0	
810000	true	n	.01	0.006621951870213945	0.49296883262069224	0.49553643741076003	0.9933780481564577	0.9853637742929636	0.966825701804507	4.0	992.0	4.0	
820000	true	n	.01	0.009458597311981393	0.48945978535049567	0.5025676948065498	0.9905414027413719	0.9753803671919332	0.9521551486915227	2.0	993.0	5.0	
830000	true	n	.01	0.0861929183827558	0.4899579021333008	0.49987631898418583	0.9138070816254474	0.9775579564572061	0.9560812418788494	13.0	979.0	8.0	
840000	true	n	.01	0.02048427714284875	0.49014014633553554	0.49999999999996314	0.9795157228647361	0.9788143692797853	0.948641290809736	14.0	983.0	3.0	
850000	true	n	.01	0.010306813100714348	0.490160720611917	0.4963015716385898	0.9896931869048412	0.9804460870961208	0.9375022714380055	19.0	979.0	2.0	
860000	true	n	.01	0.02294278419396861	0.4939354717242368	0.54649732243634	0.977057215810445	0.9784540679739505	0.9428969587663419	24.0	973.0	3.0	
870000	true	n	.01	0.004845292038837772	0.4888195118331126	0.5285313084980187	0.995154707987575	0.9825257033895932	0.9309917096224252	4.0	992.0	4.0	
880000	true	n	.01	0.014223437383363256	0.4881639840389671	0.49527000352475387	0.985776562634257	0.9780171634078447	0.9322187938388335	6.0	983.0	11.0	
890000	true	n	.01	0.010425350657383203	0.4877896039912557	0.49379174754126354	0.9895746493522057	0.9756987318613919	0.922976695709887	11.0	975.0	14.0	
900000	true	n	.01	0.021479261061132605	0.48841807431722123	0.49661855869289134	0.9785207389539348	0.9787190460665974	0.9332780873288355	7.0	976.0	17.0	
910000	true	n	.01	0.010043847008707227	0.48930375531388676	0.5006326478621126	0.9899561530123911	0.9794876300050769	0.9424707833557279	5.0	982.0	13.0	
920000	true	n	.01	0.03642225181527124	0.49175486399221585	0.49007873169665095	0.9635777481943159	0.9775475652457466	0.929317886208766	11.0	975.0	14.0	
930000	true	n	.01	0.06357116482192442	0.490339506144056	0.5035312170333821	0.9364288351912751	0.9734882948520798	0.9480446285117925	8.0	982.0	10.0	
940000	true	n	.01	0.009852642799438491	0.48779895338947865	0.501077641367531	0.9901473572156589	0.9769017963226224	0.9701012411245851	7.0	991.0	2.0	
950000	true	n	.01	0.0074619882431667395	0.48776973053778333	0.47930355163203847	0.9925380118624643	0.9788278289607818	0.9361999790368912	1.0	995.0	4.0	
960000	true	n	.01	0.02215652352311701	0.49040948712269844	0.5028008949057892	0.9778434765121018	0.9771207799955228	0.9404845149803158	3.0	995.0	2.0	
970000	true	n	.01	0.025904694401840962	0.4901659630996251	0.5056017898115783	0.9740953056087214	0.9783170233935374	0.9544868517968673	10.0	989.0	1.0	
980000	true	n	.01	0.03848469241503009	0.4905874553003676	-Infinity	0.9615153075915733	0.978444721025762	Infinity	16.0	984.0	0.0	
990000	true	n	.01	0.020876417611454968	0.48742727291079213	0.49999999999989897	0.979123582393826	0.9765939072762909	0.9068364556489726	20.0	979.0	1.0	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, n, .05]
0	true	n	.05	0.5	0.5	0.5	0.5	0.5	0.5	333.0	333.0	334.0	
10000	true	n	.05	0.007577556717322102	0.47285911329691027	0.47967532147195296	0.9924224432825884	0.9911425607572275	0.9067617670783061	304.0	348.0	348.0	
20000	true	n	.05	0.0076718160775888925	0.4646831128363359	0.4801301323254912	0.9923281839222652	0.9926927884344345	0.9455867169689663	308.0	391.0	301.0	
30000	true	n	.05	0.011642576471329245	0.47011258341191525	0.48213302515738116	0.9883574235285699	0.9921573460628323	0.9135300345554962	250.0	435.0	315.0	
40000	true	n	.05	0.005322044412528059	0.4675102806318436	0.49094178574148933	0.9946779555873452	0.9915189913262042	0.9421465039022484	240.0	492.0	268.0	
